gene_id,gene_symbol,gene_name,label,dataset_role,ensembl_gene_id,ensembl_gene_name,gene_type,chromosome_or_scaffold,gene_start_bp,gene_end_bp,strand,uniprot_accession,uniprot_entry_name,sequence_length_fasta,coordinate_source,coordinate_scope,coordinate_master_version
ENSG00000183801,OLFML1,OLFML1,0,negative,ENSG00000183801,OLFML1,protein_coding,11,7485362.0,7512897.0,1.0,Q6UWY5,OLFL1_HUMAN,402.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000101391,CDK5RAP1,CDK5RAP1 mitochondrial tRNA methylthiotransferase,1,positive,ENSG00000101391,CDK5RAP1,protein_coding,20,33358437.0,33401561.0,-1.0,Q96SZ6,CK5P1_HUMAN,601.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000083844,ZNF264,ZNF264,0,negative,ENSG00000083844,ZNF264,protein_coding,19,57191500.0,57222846.0,1.0,O43296,ZN264_HUMAN,627.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,1,positive,ENSG00000165029,ABCA1,protein_coding,9,104781006.0,104928155.0,-1.0,O95477,ABCA1_HUMAN,2261.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000171595,DNAI2,DNAI2,0,negative,ENSG00000171595,DNAI2,protein_coding,17,74274234.0,74314886.0,1.0,Q9GZS0,DNAI2_HUMAN,605.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000179588,ZFPM1,"zinc finger protein, FOG family member 1",1,positive,ENSG00000179588,ZFPM1,protein_coding,16,88453280.0,88537031.0,1.0,Q8IX07,FOG1_HUMAN,1006.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000107443,CCNJ,CCNJ,0,negative,ENSG00000107443,CCNJ,protein_coding,10,96043394.0,96060870.0,1.0,Q5T5M9,CCNJ_HUMAN,372.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000170035,UBE2E3,ubiquitin conjugating enzyme E2 E3,1,positive,ENSG00000170035,UBE2E3,protein_coding,2,180967248.0,181076585.0,1.0,Q969T4,UB2E3_HUMAN,207.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000120341,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",1,positive,ENSG00000120341,SEC16B,protein_coding,1,177923956.0,177984303.0,-1.0,Q96JE7,SC16B_HUMAN,1060.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000188869,TMC3,TMC3,0,negative,ENSG00000188869,TMC3,protein_coding,15,81331088.0,81374213.0,-1.0,Q7Z5M5,TMC3_HUMAN,1100.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000151726,ACSL1,acyl-CoA synthetase long chain family member 1,1,positive,ENSG00000151726,ACSL1,protein_coding,4,184755501.0,184826853.0,-1.0,P33121,ACSL1_HUMAN,698.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000064687,ABCA7,ABCA7,0,negative,ENSG00000064687,ABCA7,protein_coding,19,1039997.0,1065572.0,1.0,Q8IZY2,ABCA7_HUMAN,2146.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000143409,MINDY1,MINDY lysine 48 deubiquitinase 1,1,positive,ENSG00000143409,MINDY1,protein_coding,1,150995125.0,151008376.0,-1.0,Q8N5J2,MINY1_HUMAN,469.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000113302,IL12B,interleukin 12B,1,positive,ENSG00000113302,IL12B,protein_coding,5,159314780.0,159330863.0,-1.0,P29460,IL12B_HUMAN,328.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000085978,ATG16L1,autophagy related 16 like 1,1,positive,ENSG00000085978,ATG16L1,protein_coding,2,233210051.0,233295674.0,1.0,Q676U5,A16L1_HUMAN,607.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000119718,EIF2B2,EIF2B2,0,negative,ENSG00000119718,EIF2B2,protein_coding,14,75002894.0,75012366.0,1.0,P49770,EI2BB_HUMAN,351.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000165935,SMCO2,single-pass membrane protein with coiled-coil domains 2,1,positive,ENSG00000165935,SMCO2,protein_coding,12,27446736.0,27502185.0,1.0,A6NFE2,SMCO2_HUMAN,343.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000146477,SLC22A3,solute carrier family 22 member 3,1,positive,ENSG00000146477,SLC22A3,protein_coding,6,160348373.0,160452577.0,1.0,O75751,S22A3_HUMAN,556.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000175894,TSPEAR,TSPEAR,0,negative,ENSG00000175894,TSPEAR,protein_coding,21,44497893.0,44711873.0,-1.0,Q8WU66,TSEAR_HUMAN,669.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000112715,VEGFA,vascular endothelial growth factor A,1,positive,ENSG00000112715,VEGFA,protein_coding,6,43770184.0,43786487.0,1.0,P15692,VEGFA_HUMAN,395.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000160221,GATD3,GATD3,0,negative,ENSG00000160221,GATD3,protein_coding,21,44133610.0,44210114.0,1.0,P0DPI2,GAL3A_HUMAN,268.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000196376,SLC35F1,SLC35F1,0,negative,ENSG00000196376,SLC35F1,protein_coding,6,117907264.0,118317676.0,1.0,Q5T1Q4,S35F1_HUMAN,408.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000018625,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1,positive,ENSG00000018625,ATP1A2,protein_coding,1,160115758.0,160143595.0,1.0,P50993,AT1A2_HUMAN,1020.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000187546,AGMO,alkylglycerol monooxygenase,1,positive,ENSG00000187546,AGMO,protein_coding,7,15200317.0,15562017.0,-1.0,Q6ZNB7,ALKMO_HUMAN,445.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000138641,HERC3,HERC3,0,negative,ENSG00000138641,HERC3,protein_coding,4,88592434.0,88708540.0,1.0,Q15034,HERC3_HUMAN,1050.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000126856,PRDM7,PRDM7,0,negative,ENSG00000126856,PRDM7,protein_coding,16,90056566.0,90092072.0,-1.0,Q9NQW5,PRDM7_HUMAN,492.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000182333,LIPF,"lipase F, gastric type",1,positive,ENSG00000182333,LIPF,protein_coding,10,88664441.0,88678814.0,1.0,P07098,LIPF_HUMAN,398.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000196511,TPK1,TPK1,0,negative,ENSG00000196511,TPK1,protein_coding,7,144451941.0,144836419.0,-1.0,Q9H3S4,TPK1_HUMAN,243.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000148429,USP6NL,USP6NL,0,negative,ENSG00000148429,USP6NL,protein_coding,10,11460328.0,11611803.0,-1.0,Q92738,US6NL_HUMAN,828.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000164588,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,1,positive,ENSG00000164588,HCN1,protein_coding,5,45254948.0,45696498.0,-1.0,O60741,HCN1_HUMAN,890.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000148600,CDHR1,CDHR1,0,negative,ENSG00000148600,CDHR1,protein_coding,10,84194537.0,84219621.0,1.0,Q96JP9,CDHR1_HUMAN,859.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000076043,REXO2,REXO2,0,negative,ENSG00000076043,REXO2,protein_coding,11,114439386.0,114450296.0,1.0,Q9Y3B8,ORN_HUMAN,237.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000163535,SGO2,SGO2,0,negative,ENSG00000163535,SGO2,protein_coding,2,200510008.0,200584096.0,1.0,Q562F6,SGO2_HUMAN,1265.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000079432,CIC,CIC,0,negative,ENSG00000079432,CIC,protein_coding,19,42268537.0,42295801.0,1.0,Q96RK0,CIC_HUMAN,2517.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000173320,STOX2,STOX2,0,negative,ENSG00000173320,STOX2,protein_coding,4,183797692.0,184023526.0,1.0,Q9P2F5,STOX2_HUMAN,926.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000284770,TBCE,tubulin folding cofactor E,1,positive,ENSG00000284770,TBCE,protein_coding,1,235367360.0,235452443.0,1.0,Q15813,TBCE_HUMAN,527.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000198901,PRC1,protein regulator of cytokinesis 1,1,positive,ENSG00000198901,PRC1,protein_coding,15,90966038.0,90995629.0,-1.0,O43663,PRC1_HUMAN,620.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000068078,FGFR3,fibroblast growth factor receptor 3,1,positive,ENSG00000068078,FGFR3,protein_coding,4,1793286.0,1808873.0,1.0,P22607,FGFR3_HUMAN,806.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000147905,ZCCHC7,zinc finger CCHC-type containing 7,1,positive,ENSG00000147905,ZCCHC7,protein_coding,9,37120478.0,37358177.0,1.0,Q8N3Z6,ZCHC7_HUMAN,543.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000138400,MDH1B,MDH1B,0,negative,ENSG00000138400,MDH1B,protein_coding,2,206737763.0,206765328.0,-1.0,Q5I0G3,MDH1B_HUMAN,518.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000064313,TAF2,TAF2,0,negative,ENSG00000064313,TAF2,protein_coding,8,119730774.0,119832863.0,-1.0,Q6P1X5,TAF2_HUMAN,1199.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000163811,WDR43,WDR43,0,negative,ENSG00000163811,WDR43,protein_coding,2,28894638.0,28948223.0,1.0,Q15061,WDR43_HUMAN,677.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,1,positive,ENSG00000186010,NDUFA13,protein_coding,19,19515736.0,19529054.0,1.0,Q9P0J0,NDUAD_HUMAN,144.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000089847,ANKRD24,ANKRD24,0,negative,ENSG00000089847,ANKRD24,protein_coding,19,4182630.0,4224818.0,1.0,Q8TF21,ANR24_HUMAN,1146.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000142864,SERBP1,SERBP1,0,negative,ENSG00000142864,SERBP1,protein_coding,1,67407810.0,67430415.0,-1.0,Q8NC51,SERB1_HUMAN,408.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000185633,COXFA4L2,cytochrome c oxidase hypoxia associated subunit FA4L2,1,positive,ENSG00000185633,NDUFA4L2,protein_coding,12,57234903.0,57240715.0,-1.0,Q9NRX3,CX4L2_HUMAN,87.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000070444,MNT,MAX network transcriptional repressor,1,positive,ENSG00000070444,MNT,protein_coding,17,2384073.0,2401142.0,-1.0,Q99583,MNT_HUMAN,582.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000160803,UBQLN4,UBQLN4,0,negative,ENSG00000160803,UBQLN4,protein_coding,1,156035299.0,156053798.0,-1.0,Q9NRR5,UBQL4_HUMAN,601.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000169181,GSG1L,GSG1L,0,negative,ENSG00000169181,GSG1L,protein_coding,16,27787526.0,28063754.0,-1.0,Q6UXU4,GSG1L_HUMAN,331.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000135837,CEP350,CEP350,0,negative,ENSG00000135837,CEP350,protein_coding,1,179954674.0,180114880.0,1.0,Q5VT06,CE350_HUMAN,3117.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000125885,MCM8,MCM8,0,negative,ENSG00000125885,MCM8,protein_coding,20,5949767.0,5998977.0,1.0,Q9UJA3,MCM8_HUMAN,840.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000137731,FXYD2,FXYD domain containing ion transport regulator 2,1,positive,ENSG00000137731,FXYD2,protein_coding,11,117800839.0,117828698.0,-1.0,P54710,ATNG_HUMAN,66.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000196683,TOMM7,translocase of outer mitochondrial membrane 7,1,positive,ENSG00000196683,TOMM7,protein_coding,7,22812628.0,22822849.0,-1.0,Q9P0U1,TOM7_HUMAN,55.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000184635,ZNF93,ZNF93,0,negative,ENSG00000184635,ZNF93,protein_coding,19,19900913.0,19963464.0,1.0,P35789,ZNF93_HUMAN,620.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000185305,ARL15,ARF like GTPase 15,1,positive,ENSG00000185305,ARL15,protein_coding,5,53883942.0,54310582.0,-1.0,Q9NXU5,ARL15_HUMAN,204.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000184588,PDE4B,phosphodiesterase 4B,1,positive,ENSG00000184588,PDE4B,protein_coding,1,65792514.0,66374579.0,1.0,Q07343,PDE4B_HUMAN,736.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000156966,B3GNT7,B3GNT7,0,negative,ENSG00000156966,B3GNT7,protein_coding,2,231395671.0,231408799.0,1.0,Q8NFL0,B3GN7_HUMAN,401.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000143393,PI4KB,PI4KB,0,negative,ENSG00000143393,PI4KB,protein_coding,1,151291792.0,151328394.0,-1.0,Q9UBF8,PI4KB_HUMAN,816.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000172399,MYOZ2,myozenin 2,1,positive,ENSG00000172399,MYOZ2,protein_coding,4,119128431.0,119187789.0,1.0,Q9NPC6,MYOZ2_HUMAN,264.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000171873,ADRA1D,adrenoceptor alpha 1D,1,positive,ENSG00000171873,ADRA1D,protein_coding,20,4220630.0,4249287.0,-1.0,P25100,ADA1D_HUMAN,572.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000089063,TMEM230,TMEM230,0,negative,ENSG00000089063,TMEM230,protein_coding,20,5068232.0,5113452.0,-1.0,Q96A57,TM230_HUMAN,120.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000068028,RASSF1,RASSF1,0,negative,ENSG00000068028,RASSF1,protein_coding,3,50329782.0,50340980.0,-1.0,Q9NS23,RASF1_HUMAN,344.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000165164,CFAP47,CFAP47,0,negative,ENSG00000165164,CFAP47,protein_coding,X,35919734.0,36385317.0,1.0,Q6ZTR5,CFA47_HUMAN,3187.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000185774,KCNIP4,KCNIP4,0,negative,ENSG00000185774,KCNIP4,protein_coding,4,20728606.0,21948772.0,-1.0,Q6PIL6,KCIP4_HUMAN,250.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000122741,DCAF10,DCAF10,0,negative,ENSG00000122741,DCAF10,protein_coding,9,37800554.0,37867666.0,1.0,Q5QP82,DCA10_HUMAN,559.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000124780,KCNK17,potassium two pore domain channel subfamily K member 17,1,positive,ENSG00000124780,KCNK17,protein_coding,6,39298998.0,39314461.0,-1.0,Q96T54,KCNKH_HUMAN,332.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000145012,LPP,LIM domain containing preferred translocation partner in lipoma,1,positive,ENSG00000145012,LPP,protein_coding,3,188152994.0,188890671.0,1.0,Q93052,LPP_HUMAN,612.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000101746,NOL4,nucleolar protein 4,1,positive,ENSG00000101746,NOL4,protein_coding,18,33851100.0,34224952.0,-1.0,O94818,NOL4_HUMAN,638.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000104313,EYA1,EYA transcriptional coactivator and phosphatase 1,1,positive,ENSG00000104313,EYA1,protein_coding,8,71197432.0,71592025.0,-1.0,Q99502,EYA1_HUMAN,592.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000089177,KIF16B,KIF16B,0,negative,ENSG00000089177,KIF16B,protein_coding,20,16272104.0,16573448.0,-1.0,Q96L93,KI16B_HUMAN,1317.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,1,positive,ENSG00000183648,NDUFB1,protein_coding,14,92116119.0,92121978.0,-1.0,O75438,NDUB1_HUMAN,58.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000197467,COL13A1,collagen type XIII alpha 1 chain,1,positive,ENSG00000197467,COL13A1,protein_coding,10,69801880.0,69964275.0,1.0,Q5TAT6,CODA1_HUMAN,717.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000134153,EMC7,EMC7,0,negative,ENSG00000134153,EMC7,protein_coding,15,34083980.0,34101910.0,-1.0,Q9NPA0,EMC7_HUMAN,242.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000136122,BORA,BORA,0,negative,ENSG00000136122,BORA,protein_coding,13,72727749.0,72756198.0,1.0,Q6PGQ7,BORA_HUMAN,559.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000157837,SPPL3,signal peptide peptidase like 3,1,positive,ENSG00000157837,SPPL3,protein_coding,12,120762510.0,120904358.0,-1.0,Q8TCT6,SPPL3_HUMAN,384.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000188404,SELL,selectin L,1,positive,ENSG00000188404,SELL,protein_coding,1,169690665.0,169712202.0,-1.0,P14151,LYAM1_HUMAN,372.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000107651,SEC23IP,SEC23 interacting protein,1,positive,ENSG00000107651,SEC23IP,protein_coding,10,119892686.0,119944657.0,1.0,Q9Y6Y8,S23IP_HUMAN,1000.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000179397,CATSPERE,CATSPERE,0,negative,ENSG00000179397,CATSPERE,protein_coding,1,244454377.0,244641177.0,1.0,Q5SY80,CTSRE_HUMAN,951.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000203760,CENPW,centromere protein W,1,positive,ENSG00000203760,CENPW,protein_coding,6,126340115.0,126348875.0,1.0,Q5EE01,CENPW_HUMAN,88.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000129295,DNAAF11,DNAAF11,0,negative,ENSG00000129295,DNAAF11,protein_coding,8,132570416.0,132675617.0,-1.0,Q86X45,DAA11_HUMAN,466.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000164823,OSGIN2,OSGIN2,0,negative,ENSG00000164823,OSGIN2,protein_coding,8,89901849.0,89927888.0,1.0,Q9Y236,OSGI2_HUMAN,505.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000084092,NOA1,NOA1,0,negative,ENSG00000084092,NOA1,protein_coding,4,56962876.0,56977623.0,-1.0,Q8NC60,NOA1_HUMAN,698.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
ENSG00000106459,NRF1,nuclear respiratory factor 1,1,positive,ENSG00000106459,NRF1,protein_coding,7,129611699.0,129757082.0,1.0,Q16656,NRF1_HUMAN,503.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1
