gene_id,gene_symbol,gene_name,label,dataset_role,ensembl_gene_id,ensembl_gene_name,gene_type,chromosome_or_scaffold,gene_start_bp,gene_end_bp,strand,uniprot_accession,uniprot_entry_name,sequence_length_fasta,coordinate_source,coordinate_scope,coordinate_master_version,representative_transcript_id,representative_transcript_rule,representative_transcript_priority,transcript_gene_name,transcript_gene_type,transcript_chromosome,transcript_strand,transcript_start_bp,transcript_end_bp,representative_tss_bp,representative_tss_rule,chromosome_match_gene_vs_transcript,strand_match_gene_vs_transcript,representative_tss_master_version,representative_transcript_selection_strategy
ENSG00000007314,SCN4A,sodium voltage-gated channel alpha subunit 4,1,positive,ENSG00000007314,SCN4A,protein_coding,17,63938554.0,63972918.0,-1.0,P35499,SCN4A_HUMAN,1836.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000435607,MANE_Select,1,SCN4A,protein_coding,17,-1,63938554,63972918,63972918,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000112996,MRPS30,mitochondrial ribosomal protein S30,1,positive,ENSG00000112996,MRPS30,protein_coding,5,44808947.0,44820428.0,1.0,Q9NP92,RT30_HUMAN,439.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000507110,MANE_Select,1,MRPS30,protein_coding,5,1,44808947,44815514,44808947,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000187678,SPRY4,sprouty RTK signaling antagonist 4,1,positive,ENSG00000187678,SPRY4,protein_coding,5,142310420.0,142326455.0,-1.0,Q9C004,SPY4_HUMAN,299.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000434127,MANE_Select,1,SPRY4,protein_coding,5,-1,142310430,142325021,142325021,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000183801,OLFML1,OLFML1,0,negative,ENSG00000183801,OLFML1,protein_coding,11,7485362.0,7512897.0,1.0,Q6UWY5,OLFL1_HUMAN,402.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000329293,MANE_Select,1,OLFML1,protein_coding,11,1,7485506,7511377,7485506,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000101391,CDK5RAP1,CDK5RAP1 mitochondrial tRNA methylthiotransferase,1,positive,ENSG00000101391,CDK5RAP1,protein_coding,20,33358437.0,33401561.0,-1.0,Q96SZ6,CK5P1_HUMAN,601.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000346416,MANE_Select,1,CDK5RAP1,protein_coding,20,-1,33358839,33401519,33401519,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000083844,ZNF264,ZNF264,0,negative,ENSG00000083844,ZNF264,protein_coding,19,57191500.0,57222846.0,1.0,O43296,ZN264_HUMAN,627.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000263095,MANE_Select,1,ZNF264,protein_coding,19,1,57191500,57222846,57191500,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,1,positive,ENSG00000165029,ABCA1,protein_coding,9,104781006.0,104928155.0,-1.0,O95477,ABCA1_HUMAN,2261.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000374736,MANE_Select,1,ABCA1,protein_coding,9,-1,104781006,104928155,104928155,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000171595,DNAI2,DNAI2,0,negative,ENSG00000171595,DNAI2,protein_coding,17,74274234.0,74314886.0,1.0,Q9GZS0,DNAI2_HUMAN,605.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000311014,MANE_Select,1,DNAI2,protein_coding,17,1,74274234,74314884,74274234,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000179588,ZFPM1,"zinc finger protein, FOG family member 1",1,positive,ENSG00000179588,ZFPM1,protein_coding,16,88453280.0,88537031.0,1.0,Q8IX07,FOG1_HUMAN,1006.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000319555,MANE_Select,1,ZFPM1,protein_coding,16,1,88453280,88537031,88453280,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000107443,CCNJ,CCNJ,0,negative,ENSG00000107443,CCNJ,protein_coding,10,96043394.0,96060870.0,1.0,Q5T5M9,CCNJ_HUMAN,372.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000465148,MANE_Select,1,CCNJ,protein_coding,10,1,96043583,96060870,96043583,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000170035,UBE2E3,ubiquitin conjugating enzyme E2 E3,1,positive,ENSG00000170035,UBE2E3,protein_coding,2,180967248.0,181076585.0,1.0,Q969T4,UB2E3_HUMAN,207.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000410062,MANE_Select,1,UBE2E3,protein_coding,2,1,180980605,181063425,180980605,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000120341,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",1,positive,ENSG00000120341,SEC16B,protein_coding,1,177923956.0,177984303.0,-1.0,Q96JE7,SC16B_HUMAN,1060.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000308284,MANE_Select,1,SEC16B,protein_coding,1,-1,177928788,177970058,177970058,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000188869,TMC3,TMC3,0,negative,ENSG00000188869,TMC3,protein_coding,15,81331088.0,81374213.0,-1.0,Q7Z5M5,TMC3_HUMAN,1100.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000359440,MANE_Select,1,TMC3,protein_coding,15,-1,81331088,81374213,81374213,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000151726,ACSL1,acyl-CoA synthetase long chain family member 1,1,positive,ENSG00000151726,ACSL1,protein_coding,4,184755501.0,184826853.0,-1.0,P33121,ACSL1_HUMAN,698.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000281455,MANE_Select,1,ACSL1,protein_coding,4,-1,184755595,184825968,184825968,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000064687,ABCA7,ABCA7,0,negative,ENSG00000064687,ABCA7,protein_coding,19,1039997.0,1065572.0,1.0,Q8IZY2,ABCA7_HUMAN,2146.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000263094,MANE_Select,1,ABCA7,protein_coding,19,1,1040107,1065572,1040107,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000143409,MINDY1,MINDY lysine 48 deubiquitinase 1,1,positive,ENSG00000143409,MINDY1,protein_coding,1,150995125.0,151008376.0,-1.0,Q8N5J2,MINY1_HUMAN,469.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000683666,MANE_Select,1,MINDY1,protein_coding,1,-1,150996835,151006902,151006902,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000113302,IL12B,interleukin 12B,1,positive,ENSG00000113302,IL12B,protein_coding,5,159314780.0,159330863.0,-1.0,P29460,IL12B_HUMAN,328.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000231228,MANE_Select,1,IL12B,protein_coding,5,-1,159314780,159330487,159330487,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000085978,ATG16L1,autophagy related 16 like 1,1,positive,ENSG00000085978,ATG16L1,protein_coding,2,233210051.0,233295674.0,1.0,Q676U5,A16L1_HUMAN,607.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000392017,MANE_Select,1,ATG16L1,protein_coding,2,1,233251673,233295669,233251673,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000119718,EIF2B2,EIF2B2,0,negative,ENSG00000119718,EIF2B2,protein_coding,14,75002894.0,75012366.0,1.0,P49770,EI2BB_HUMAN,351.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000266126,MANE_Select,1,EIF2B2,protein_coding,14,1,75002921,75012366,75002921,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000165935,SMCO2,single-pass membrane protein with coiled-coil domains 2,1,positive,ENSG00000165935,SMCO2,protein_coding,12,27446736.0,27502185.0,1.0,A6NFE2,SMCO2_HUMAN,343.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000535986,MANE_Select,1,SMCO2,protein_coding,12,1,27446736,27502185,27446736,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000146477,SLC22A3,solute carrier family 22 member 3,1,positive,ENSG00000146477,SLC22A3,protein_coding,6,160348373.0,160452577.0,1.0,O75751,S22A3_HUMAN,556.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000275300,MANE_Select,1,SLC22A3,protein_coding,6,1,160348378,160452577,160348378,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000175894,TSPEAR,TSPEAR,0,negative,ENSG00000175894,TSPEAR,protein_coding,21,44497893.0,44711873.0,-1.0,Q8WU66,TSEAR_HUMAN,669.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000323084,MANE_Select,1,TSPEAR,protein_coding,21,-1,44497893,44711572,44711572,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000112715,VEGFA,vascular endothelial growth factor A,1,positive,ENSG00000112715,VEGFA,protein_coding,6,43770184.0,43786487.0,1.0,P15692,VEGFA_HUMAN,395.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000672860,MANE_Select,1,VEGFA,protein_coding,6,1,43770211,43786487,43770211,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000160221,GATD3,GATD3,0,negative,ENSG00000160221,GATD3,protein_coding,21,44133610.0,44210114.0,1.0,P0DPI2,GAL3A_HUMAN,268.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000291577,MANE_Select,1,GATD3,protein_coding,21,1,44133683,44145711,44133683,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000196376,SLC35F1,SLC35F1,0,negative,ENSG00000196376,SLC35F1,protein_coding,6,117907264.0,118317676.0,1.0,Q5T1Q4,S35F1_HUMAN,408.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000360388,MANE_Select,1,SLC35F1,protein_coding,6,1,117907264,118317671,117907264,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000018625,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1,positive,ENSG00000018625,ATP1A2,protein_coding,1,160115758.0,160143595.0,1.0,P50993,AT1A2_HUMAN,1020.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000361216,MANE_Select,1,ATP1A2,protein_coding,1,1,160115759,160143591,160115759,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000187546,AGMO,alkylglycerol monooxygenase,1,positive,ENSG00000187546,AGMO,protein_coding,7,15200317.0,15562017.0,-1.0,Q6ZNB7,ALKMO_HUMAN,445.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000342526,MANE_Select,1,AGMO,protein_coding,7,-1,15200317,15562015,15562015,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000138641,HERC3,HERC3,0,negative,ENSG00000138641,HERC3,protein_coding,4,88592434.0,88708540.0,1.0,Q15034,HERC3_HUMAN,1050.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000402738,MANE_Select,1,HERC3,protein_coding,4,1,88592480,88708539,88592480,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000126856,PRDM7,PRDM7,0,negative,ENSG00000126856,PRDM7,protein_coding,16,90056566.0,90092072.0,-1.0,Q9NQW5,PRDM7_HUMAN,492.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000449207,MANE_Select,1,PRDM7,protein_coding,16,-1,90056566,90077331,90077331,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000182333,LIPF,"lipase F, gastric type",1,positive,ENSG00000182333,LIPF,protein_coding,10,88664441.0,88678814.0,1.0,P07098,LIPF_HUMAN,398.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000238983,MANE_Select,1,LIPF,protein_coding,10,1,88664442,88678814,88664442,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000196511,TPK1,TPK1,0,negative,ENSG00000196511,TPK1,protein_coding,7,144451941.0,144836419.0,-1.0,Q9H3S4,TPK1_HUMAN,243.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000360057,MANE_Select,1,TPK1,protein_coding,7,-1,144451941,144836053,144836053,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000148429,USP6NL,USP6NL,0,negative,ENSG00000148429,USP6NL,protein_coding,10,11460328.0,11611803.0,-1.0,Q92738,US6NL_HUMAN,828.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000609104,MANE_Select,1,USP6NL,protein_coding,10,-1,11460510,11611650,11611650,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000164588,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,1,positive,ENSG00000164588,HCN1,protein_coding,5,45254948.0,45696498.0,-1.0,O60741,HCN1_HUMAN,890.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000303230,MANE_Select,1,HCN1,protein_coding,5,-1,45254948,45696380,45696380,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000148600,CDHR1,CDHR1,0,negative,ENSG00000148600,CDHR1,protein_coding,10,84194537.0,84219621.0,1.0,Q96JP9,CDHR1_HUMAN,859.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000623527,MANE_Select,1,CDHR1,protein_coding,10,1,84194537,84218694,84194537,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000076043,REXO2,REXO2,0,negative,ENSG00000076043,REXO2,protein_coding,11,114439386.0,114450296.0,1.0,Q9Y3B8,ORN_HUMAN,237.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000265881,MANE_Select,1,REXO2,protein_coding,11,1,114439467,114450279,114439467,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000163535,SGO2,SGO2,0,negative,ENSG00000163535,SGO2,protein_coding,2,200510008.0,200584096.0,1.0,Q562F6,SGO2_HUMAN,1265.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000357799,MANE_Select,1,SGO2,protein_coding,2,1,200526207,200584096,200526207,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000079432,CIC,CIC,0,negative,ENSG00000079432,CIC,protein_coding,19,42268537.0,42295801.0,1.0,Q96RK0,CIC_HUMAN,2517.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000681038,MANE_Select,1,CIC,protein_coding,19,1,42269252,42295796,42269252,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000173320,STOX2,STOX2,0,negative,ENSG00000173320,STOX2,protein_coding,4,183797692.0,184023526.0,1.0,Q9P2F5,STOX2_HUMAN,926.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000308497,MANE_Select,1,STOX2,protein_coding,4,1,183905307,184023526,183905307,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000284770,TBCE,tubulin folding cofactor E,1,positive,ENSG00000284770,TBCE,protein_coding,1,235367360.0,235452443.0,1.0,Q15813,TBCE_HUMAN,527.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000642610,MANE_Select,1,TBCE,protein_coding,1,1,235367427,235452443,235367427,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000198901,PRC1,protein regulator of cytokinesis 1,1,positive,ENSG00000198901,PRC1,protein_coding,15,90966038.0,90995629.0,-1.0,O43663,PRC1_HUMAN,620.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000394249,MANE_Select,1,PRC1,protein_coding,15,-1,90966040,90994535,90994535,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000068078,FGFR3,fibroblast growth factor receptor 3,1,positive,ENSG00000068078,FGFR3,protein_coding,4,1793286.0,1808873.0,1.0,P22607,FGFR3_HUMAN,806.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000440486,MANE_Select,1,FGFR3,protein_coding,4,1,1793293,1808867,1793293,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
