Gene stable ID	Transcript stable ID	Gene name	Gene type	Chromosome/scaffold name	Strand	Transcript start (bp)	Transcript end (bp)
ENSG00000016082	ENST00000230658	ISL1	protein_coding	5	1	51383448	51394730
ENSG00000016490	ENST00000394711	CLCA1	protein_coding	1	1	86468927	86500259
ENSG00000016602	ENST00000370563	CLCA4	protein_coding	1	1	86547078	86580754
ENSG00000018625	ENST00000361216	ATP1A2	protein_coding	1	1	160115759	160143591
ENSG00000020256	ENST00000216923	ZFP64	protein_coding	20	-1	52151278	52191779
ENSG00000020633	ENST00000308873	RUNX3	protein_coding	1	-1	24899511	24930276
ENSG00000021300	ENST00000354190	PLEKHB1	protein_coding	11	1	73646581	73662819
ENSG00000021645	ENST00000335750	NRXN3	protein_coding	14	1	78170373	79868291
ENSG00000021762	ENST00000263650	OSBPL5	protein_coding	11	-1	3087107	3165310
ENSG00000022567	ENST00000517878	SLC45A4	protein_coding	8	-1	141207174	141308288
ENSG00000023228	ENST00000233190	NDUFS1	protein_coding	2	-1	206114817	206159444
ENSG00000023516	ENST00000025301	AKAP11	protein_coding	13	1	42272152	42323261
ENSG00000025156	ENST00000368455	HSF2	protein_coding	6	1	122399652	122433119
ENSG00000029534	ENST00000289734	ANK1	protein_coding	8	-1	41653225	41797622
ENSG00000030066	ENST00000378460	NUP160	protein_coding	11	-1	47778118	47848350
ENSG00000030110	ENST00000374467	BAK1	protein_coding	6	-1	33572552	33580276
ENSG00000033030	ENST00000633063	ZCCHC8	protein_coding	12	-1	122471600	122500932
ENSG00000033100	ENST00000035307	CHPF2	protein_coding	7	1	151232483	151238822
ENSG00000033800	ENST00000249636	PIAS1	protein_coding	15	1	68054315	68193847
ENSG00000035115	ENST00000356150	SH3YL1	protein_coding	2	-1	218144	264032
ENSG00000035499	ENST00000265036	DEPDC1B	protein_coding	5	-1	60596912	60700166
ENSG00000035720	ENST00000265404	STAP1	protein_coding	4	1	67558727	67607337
ENSG00000036257	ENST00000264414	CUL3	protein_coding	2	-1	224470150	224585363
ENSG00000036549	ENST00000370801	ZZZ3	protein_coding	1	-1	77562416	77682658
ENSG00000036828	ENST00000639785	CASR	protein_coding	3	1	122183668	122291629
ENSG00000037897	ENST00000324871	METTL1	protein_coding	12	-1	57768471	57772105
ENSG00000038219	ENST00000040738	BOD1L1	protein_coding	4	-1	13568738	13627725
ENSG00000039523	ENST00000042381	RIPOR1	protein_coding	16	1	67528829	67546786
ENSG00000041353	ENST00000262094	RAB27B	protein_coding	18	1	54828477	54895516
ENSG00000041802	ENST00000265245	LSG1	protein_coding	3	-1	194640791	194672191
ENSG00000043143	ENST00000681547	JADE2	protein_coding	5	1	134525670	134583227
ENSG00000043591	ENST00000369295	ADRB1	protein_coding	10	1	114043866	114046904
ENSG00000044090	ENST00000265348	CUL7	protein_coding	6	-1	43037617	43053851
ENSG00000046774	ENST00000247452	MAGEC2	protein_coding	X	-1	142202342	142205290
ENSG00000047188	ENST00000161863	YTHDC2	protein_coding	5	1	113513694	113595284
ENSG00000047315	ENST00000314595	POLR2B	protein_coding	4	1	56978896	57031158
ENSG00000047410	ENST00000367478	TPR	protein_coding	1	-1	186311652	186375253
ENSG00000047932	ENST00000368498	GOPC	protein_coding	6	-1	117560269	117602511
ENSG00000047936	ENST00000368507	ROS1	protein_coding	6	-1	117287353	117425942
ENSG00000048052	ENST00000686413	HDAC9	protein_coding	7	1	18495749	19002416
ENSG00000048405	ENST00000265827	ZNF800	protein_coding	7	-1	127370043	127392708
ENSG00000048471	ENST00000566228	SNX29	protein_coding	16	1	11976734	12574287
ENSG00000049192	ENST00000381055	ADAMTS6	protein_coding	5	-1	65148738	65481920
ENSG00000050030	ENST00000055682	NEXMIF	protein_coding	X	-1	74732856	74925452
ENSG00000050767	ENST00000390654	COL23A1	protein_coding	5	-1	178237618	178590393
ENSG00000051341	ENST00000264233	POLQ	protein_coding	3	-1	121431431	121545988
ENSG00000052749	ENST00000370992	RRP12	protein_coding	10	-1	97356701	97401340
ENSG00000053254	ENST00000557258	FOXN3	protein_coding	14	-1	89156177	89417233
ENSG00000053747	ENST00000313654	LAMA3	protein_coding	18	1	23689453	23955066
ENSG00000053900	ENST00000315368	ANAPC4	protein_coding	4	1	25377263	25418498
ENSG00000053918	ENST00000155840	KCNQ1	protein_coding	11	1	2445008	2849105
ENSG00000054803	ENST00000064571	CBLN4	protein_coding	20	-1	55997357	56005519
ENSG00000054983	ENST00000261304	GALC	protein_coding	14	-1	87933014	87993182
ENSG00000055163	ENST00000620254	CYFIP2	protein_coding	5	1	157266123	157395594
ENSG00000055955	ENST00000266041	ITIH4	protein_coding	3	-1	52812962	52830672
ENSG00000056972	ENST00000368761	TRAF3IP2	protein_coding	6	-1	111555381	111605878
ENSG00000058404	ENST00000395749	CAMK2B	protein_coding	7	-1	44217154	44325594
ENSG00000060069	ENST00000613122	CTDP1	protein_coding	18	1	79679803	79754503
ENSG00000060709	ENST00000690449	RIMBP2	protein_coding	12	-1	130396133	130716299
ENSG00000060749	ENST00000650167	QSER1	protein_coding	11	1	32892811	32980270
ENSG00000061918	ENST00000264424	GUCY1B1	protein_coding	4	1	155759021	155807811
ENSG00000062524	ENST00000263800	LTK	protein_coding	15	-1	41503637	41513827
ENSG00000062725	ENST00000083182	APPBP2	protein_coding	17	-1	60443158	60526242
ENSG00000063169	ENST00000594866	BICRA	protein_coding	19	1	47609134	47703277
ENSG00000063515	ENST00000086933	GSC2	protein_coding	22	-1	19146993	19150292
ENSG00000064042	ENST00000503057	LIMCH1	protein_coding	4	1	41538157	41700044
ENSG00000064205	ENST00000190983	CCN5	protein_coding	20	1	44715369	44727811
ENSG00000064313	ENST00000378164	TAF2	protein_coding	8	-1	119730774	119832841
ENSG00000064607	ENST00000452918	SUGP2	protein_coding	19	-1	18990893	19033517
ENSG00000064651	ENST00000262461	SLC12A2	protein_coding	5	1	128083766	128189677
ENSG00000064655	ENST00000327619	EYA2	protein_coding	20	1	46894843	47188844
ENSG00000064687	ENST00000263094	ABCA7	protein_coding	19	1	1040107	1065572
ENSG00000064703	ENST00000369702	DDX20	protein_coding	1	1	111755901	111768000
ENSG00000064726	ENST00000261721	BTBD1	protein_coding	15	-1	83016423	83067252
ENSG00000065183	ENST00000349139	WDR3	protein_coding	1	1	117929739	117966543
ENSG00000065325	ENST00000262441	GLP2R	protein_coding	17	1	9825924	9892099
ENSG00000065371	ENST00000405845	ROPN1	protein_coding	3	-1	123969015	123992124
ENSG00000065518	ENST00000184266	NDUFB4	protein_coding	3	1	120596336	120602507
ENSG00000065802	ENST00000264607	ASB1	protein_coding	2	1	238426927	238452250
ENSG00000065911	ENST00000394053	MTHFD2	protein_coding	2	1	74198615	74217565
ENSG00000066084	ENST00000301180	DIP2B	protein_coding	12	1	50504985	50748657
ENSG00000066135	ENST00000372396	KDM4A	protein_coding	1	1	43650149	43705518
ENSG00000066382	ENST00000358117	MPPED2	protein_coding	11	-1	30410224	30586353
ENSG00000066629	ENST00000262233	EML1	protein_coding	14	1	99793413	99942060
ENSG00000066735	ENST00000423312	KIF26A	protein_coding	14	1	104138587	104180894
ENSG00000066923	ENST00000615138	STAG3	protein_coding	7	1	100177918	100214381
ENSG00000067177	ENST00000373542	PHKA1	protein_coding	X	-1	72578814	72714306
ENSG00000067596	ENST00000262415	DHX8	protein_coding	17	1	43483975	43525670
ENSG00000068024	ENST00000543185	HDAC4	protein_coding	2	-1	239048168	239401020
ENSG00000068028	ENST00000359365	RASSF1	protein_coding	3	-1	50329788	50340836
ENSG00000068078	ENST00000440486	FGFR3	protein_coding	4	1	1793293	1808867
ENSG00000068796	ENST00000407818	KIF2A	protein_coding	5	1	62306206	62391025
ENSG00000068831	ENST00000394432	RASGRP2	protein_coding	11	-1	64726911	64744142
ENSG00000069018	ENST00000513104	TRPC7	protein_coding	5	-1	136212745	136365545
ENSG00000069188	ENST00000392650	SDK2	protein_coding	17	-1	73334384	73644445
ENSG00000069248	ENST00000261396	NUP133	protein_coding	1	-1	229440259	229508341
ENSG00000069493	ENST00000290855	CLEC2D	protein_coding	12	1	9669713	9699553
ENSG00000069696	ENST00000176183	DRD4	protein_coding	11	1	637269	640706
ENSG00000069812	ENST00000377834	HES2	protein_coding	1	-1	6415232	6419919
ENSG00000069998	ENST00000336737	HDHD5	protein_coding	22	-1	17137520	17159277
ENSG00000070444	ENST00000174618	MNT	protein_coding	17	-1	2384073	2401060
ENSG00000070540	ENST00000262139	WIPI1	protein_coding	17	-1	68421281	68457496
ENSG00000070610	ENST00000378103	GBA2	protein_coding	9	-1	35736866	35749228
ENSG00000070778	ENST00000556564	PTPN21	protein_coding	14	-1	88465778	88555007
ENSG00000070814	ENST00000643257	TCOF1	protein_coding	5	1	150357697	150400293
ENSG00000070915	ENST00000563236	SLC12A3	protein_coding	16	1	56865207	56915850
ENSG00000072110	ENST00000394419	ACTN1	protein_coding	14	-1	68874128	68979302
ENSG00000072274	ENST00000360110	TFRC	protein_coding	3	-1	196049284	196082090
ENSG00000072310	ENST00000261646	SREBF1	protein_coding	17	-1	17811334	17836986
ENSG00000072501	ENST00000322213	SMC1A	protein_coding	X	-1	53374149	53422654
ENSG00000072609	ENST00000450056	CHFR	protein_coding	12	-1	132832356	132887605
ENSG00000072682	ENST00000360568	P4HA2	protein_coding	5	-1	132190147	132227853
ENSG00000072858	ENST00000264852	SIDT1	protein_coding	3	1	113532555	113629575
ENSG00000073614	ENST00000399788	KDM5A	protein_coding	12	-1	280057	389320
ENSG00000073711	ENST00000264977	PPP2R3A	protein_coding	3	1	135965728	136147894
ENSG00000073756	ENST00000367468	PTGS2	protein_coding	1	-1	186671791	186680423
ENSG00000073792	ENST00000382199	IGF2BP2	protein_coding	3	-1	185643130	185825042
ENSG00000073849	ENST00000169298	ST6GAL1	protein_coding	3	1	186930526	187078553
ENSG00000074047	ENST00000361492	GLI2	protein_coding	2	1	120735868	120992653
ENSG00000074201	ENST00000525428	CLNS1A	protein_coding	11	-1	77614530	77637794
ENSG00000074211	ENST00000382599	PPP2R2C	protein_coding	4	-1	6320581	6472614
ENSG00000074219	ENST00000593945	TEAD2	protein_coding	19	-1	49340595	49362416
ENSG00000074370	ENST00000397041	ATP2A3	protein_coding	17	-1	3923873	3964437
ENSG00000074410	ENST00000178638	CA12	protein_coding	15	-1	63321378	63381846
ENSG00000074657	ENST00000591808	ZNF532	protein_coding	18	1	58864877	58986480
ENSG00000074695	ENST00000251047	LMAN1	protein_coding	18	-1	59327823	59359265
ENSG00000074706	ENST00000367220	IPCEF1	protein_coding	6	-1	154154496	154356803
ENSG00000074755	ENST00000381638	ZZEF1	protein_coding	17	-1	4004445	4143030
ENSG00000075035	ENST00000547525	WSCD2	protein_coding	12	1	108129288	108250537
ENSG00000075151	ENST00000602326	EIF4G3	protein_coding	1	-1	20806479	21176897
ENSG00000075218	ENST00000454366	GTSE1	protein_coding	22	1	46296870	46330810
ENSG00000075420	ENST00000415807	FNDC3B	protein_coding	3	1	172039578	172401669
ENSG00000075461	ENST00000262138	CACNG4	protein_coding	17	1	66964707	67033398
ENSG00000075643	ENST00000261326	MOCOS	protein_coding	18	1	36187497	36272157
ENSG00000075884	ENST00000295095	ARHGAP15	protein_coding	2	1	143129419	143768352
ENSG00000075891	ENST00000355243	PAX2	protein_coding	10	1	100745582	100829944
ENSG00000075975	ENST00000170447	MKRN2	protein_coding	3	1	12557087	12583713
ENSG00000076043	ENST00000265881	REXO2	protein_coding	11	1	114439467	114450279
ENSG00000076685	ENST00000404739	NT5C2	protein_coding	10	-1	103088038	103193272
ENSG00000076826	ENST00000160298	CAMSAP3	protein_coding	19	1	7595863	7618304
ENSG00000076864	ENST00000374765	RAP1GAP	protein_coding	1	-1	21596221	21669357
ENSG00000077044	ENST00000264057	DGKD	protein_coding	2	1	233354494	233472098
ENSG00000077063	ENST00000160373	CTTNBP2	protein_coding	7	-1	117710651	117873441
ENSG00000077232	ENST00000264065	DNAJC10	protein_coding	2	1	182716257	182794464
ENSG00000077327	ENST00000376624	SPAG6	protein_coding	10	1	22345496	22417610
ENSG00000077684	ENST00000226319	JADE1	protein_coding	4	1	128809700	128875224
ENSG00000078237	ENST00000179259	TIGAR	protein_coding	12	1	4321213	4360028
ENSG00000078269	ENST00000355585	SYNJ2	protein_coding	6	1	157981863	158099176
ENSG00000078328	ENST00000550418	RBFOX1	protein_coding	16	1	6019024	7713340
ENSG00000078674	ENST00000325083	PCM1	protein_coding	8	1	17922988	18029948
ENSG00000078687	ENST00000696270	TNRC6C	protein_coding	17	1	77958703	78108822
ENSG00000078898	ENST00000170150	BPIFB2	protein_coding	20	1	33007704	33023703
ENSG00000079308	ENST00000682258	TNS1	protein_coding	2	-1	217799791	218002995
ENSG00000079432	ENST00000681038	CIC	protein_coding	19	1	42269252	42295796
ENSG00000079689	ENST00000377961	SCGN	protein_coding	6	1	25652215	25701783
ENSG00000079739	ENST00000371084	PGM1	protein_coding	1	1	63593411	63660245
ENSG00000080293	ENST00000019103	SCTR	protein_coding	2	-1	119439843	119524483
ENSG00000081138	ENST00000397968	CDH7	protein_coding	18	1	65751012	65890337
ENSG00000081177	ENST00000685843	EXD2	protein_coding	14	1	69191498	69244018
ENSG00000081189	ENST00000504921	MEF2C	protein_coding	5	-1	88717117	88883184
ENSG00000081277	ENST00000367324	PKP1	protein_coding	1	1	201283506	201332989
ENSG00000082438	ENST00000652658	COBLL1	protein_coding	2	-1	164680188	164841823
ENSG00000083817	ENST00000196489	ZNF416	protein_coding	19	-1	57571566	57578911
ENSG00000083838	ENST00000594369	ZNF446	protein_coding	19	1	58476352	58481230
ENSG00000083844	ENST00000263095	ZNF264	protein_coding	19	1	57191500	57222846
ENSG00000084090	ENST00000337288	STARD7	protein_coding	2	-1	96184859	96208827
ENSG00000084092	ENST00000264230	NOA1	protein_coding	4	-1	56963350	56977606
ENSG00000084234	ENST00000338167	APLP2	protein_coding	11	1	130069894	130144805
ENSG00000084731	ENST00000264712	KIF3C	protein_coding	2	-1	25926598	25982497
ENSG00000084734	ENST00000264717	GCKR	protein_coding	2	1	27496839	27523684
ENSG00000085185	ENST00000540052	BCORL1	protein_coding	X	1	129982635	130058071
ENSG00000085832	ENST00000371733	EPS15	protein_coding	1	-1	51354263	51519266
ENSG00000085872	ENST00000546361	CHERP	protein_coding	19	-1	16517894	16542437
ENSG00000085978	ENST00000392017	ATG16L1	protein_coding	2	1	233251673	233295669
ENSG00000086015	ENST00000361297	MAST2	protein_coding	1	1	45803612	46036122
ENSG00000086102	ENST00000379540	NFX1	protein_coding	9	1	33290516	33371157
ENSG00000086205	ENST00000256999	FOLH1	protein_coding	11	-1	49145092	49208602
ENSG00000086232	ENST00000199389	EIF2AK1	protein_coding	7	-1	6022247	6059175
ENSG00000086475	ENST00000327347	SEPHS1	protein_coding	10	-1	13317428	13348293
ENSG00000086544	ENST00000263370	ITPKC	protein_coding	19	1	40717112	40740860
ENSG00000086758	ENST00000262854	HUWE1	protein_coding	X	-1	53532096	53686719
ENSG00000087111	ENST00000308360	PIGS	protein_coding	17	-1	28553387	28571524
ENSG00000087152	ENST00000587097	ATXN7L3	protein_coding	17	-1	44191805	44199884
ENSG00000087269	ENST00000416614	NOP14	protein_coding	4	-1	2937936	2963406
ENSG00000087299	ENST00000267436	L2HGDH	protein_coding	14	-1	50242434	50312229
ENSG00000087448	ENST00000381271	KLHL42	protein_coding	12	1	27780233	27803040
ENSG00000087589	ENST00000679887	CASS4	protein_coding	20	1	56412260	56460382
ENSG00000088387	ENST00000682017	DOCK9	protein_coding	13	-1	98793429	98978064
ENSG00000088876	ENST00000278772	ZNF343	protein_coding	20	-1	2481817	2508915
ENSG00000088930	ENST00000377191	XRN2	protein_coding	20	1	21303331	21389825
ENSG00000089063	ENST00000202834	TMEM230	protein_coding	20	-1	5099850	5113076
ENSG00000089094	ENST00000377071	KDM2B	protein_coding	12	-1	121429096	121581023
ENSG00000089177	ENST00000354981	KIF16B	protein_coding	20	-1	16272104	16573448
ENSG00000089250	ENST00000317775	NOS1	protein_coding	12	-1	117208142	117361626
ENSG00000089639	ENST00000203556	GMIP	protein_coding	19	-1	19629476	19643657
ENSG00000089847	ENST00000318934	ANKRD24	protein_coding	19	1	4182689	4224814
ENSG00000090266	ENST00000247866	NDUFB2	protein_coding	7	1	140696708	140706643
ENSG00000090316	ENST00000303400	MAEA	protein_coding	4	1	1289891	1340137
ENSG00000090402	ENST00000264382	SI	protein_coding	3	-1	164978898	165078496
ENSG00000090539	ENST00000204604	CHRD	protein_coding	3	1	184380054	184389829
ENSG00000090612	ENST00000536435	ZNF268	protein_coding	12	1	133181495	133214832
ENSG00000090621	ENST00000372858	PABPC4	protein_coding	1	-1	39560816	39576790
ENSG00000090686	ENST00000308271	USP48	protein_coding	1	-1	21678298	21783149
ENSG00000090905	ENST00000395799	TNRC6A	protein_coding	16	1	24729651	24826218
ENSG00000090989	ENST00000381295	EXOC1	protein_coding	4	1	55853648	55905086
ENSG00000091009	ENST00000265271	RBM27	protein_coding	5	1	146203605	146289223
ENSG00000091157	ENST00000254442	WDR7	protein_coding	18	1	56651359	57029792
ENSG00000091704	ENST00000011292	CPA1	protein_coding	7	1	130380494	130388108
ENSG00000091831	ENST00000206249	ESR1	protein_coding	6	1	151807682	152103274
ENSG00000091844	ENST00000206262	RGS17	protein_coding	6	-1	153004459	153131282
ENSG00000091986	ENST00000206423	CCDC80	protein_coding	3	-1	112596797	112641143
ENSG00000092096	ENST00000354772	SLC22A17	protein_coding	14	-1	23346318	23352887
ENSG00000092148	ENST00000399332	HECTD1	protein_coding	14	-1	31100117	31207793
ENSG00000092208	ENST00000308317	GEMIN2	protein_coding	14	1	39114323	39136973
ENSG00000092621	ENST00000641023	PHGDH	protein_coding	1	1	119711934	119744215
ENSG00000092978	ENST00000366935	GPATCH2	protein_coding	1	-1	217426992	217631090
ENSG00000093010	ENST00000361682	COMT	protein_coding	22	1	19941772	19969975
ENSG00000094804	ENST00000209728	CDC6	protein_coding	17	1	40287879	40304657
ENSG00000095015	ENST00000399503	MAP3K1	protein_coding	5	1	56815549	56896152
ENSG00000095303	ENST00000362012	PTGS1	protein_coding	9	1	122371024	122395703
ENSG00000095574	ENST00000368886	IKZF5	protein_coding	10	-1	122990807	123008795
ENSG00000095587	ENST00000357947	TLL2	protein_coding	10	-1	96364608	96513926
ENSG00000095951	ENST00000379388	HIVEP1	protein_coding	6	1	12012312	12164999
ENSG00000095981	ENST00000437525	KCNK16	protein_coding	6	-1	39316171	39322702
ENSG00000096654	ENST00000683788	ZNF184	protein_coding	6	-1	27450747	27473105
ENSG00000096996	ENST00000593993	IL12RB1	protein_coding	19	-1	18058995	18086934
ENSG00000097096	ENST00000341460	SYDE2	protein_coding	1	-1	85156889	85201016
ENSG00000099139	ENST00000674117	PCSK5	protein_coding	9	1	75890673	76362975
ENSG00000099282	ENST00000373290	TSPAN15	protein_coding	10	1	69451465	69507666
ENSG00000099715	ENST00000698851	PCDH11Y	protein_coding	Y	1	5000296	5742224
ENSG00000099795	ENST00000215565	NDUFB7	protein_coding	19	-1	14566078	14572066
ENSG00000099954	ENST00000262608	CECR2	protein_coding	22	1	17369460	17558151
ENSG00000099991	ENST00000263119	CABIN1	protein_coding	22	1	24011304	24178628
ENSG00000100012	ENST00000215812	SEC14L3	protein_coding	22	-1	30459229	30472017
ENSG00000100034	ENST00000263212	PPM1F	protein_coding	22	-1	21919425	21952848
ENSG00000100078	ENST00000215885	PLA2G3	protein_coding	22	-1	31134807	31140508
ENSG00000100106	ENST00000644935	TRIOBP	protein_coding	22	1	37697048	37776556
ENSG00000100116	ENST00000248924	GCAT	protein_coding	22	1	37807934	37816897
ENSG00000100139	ENST00000215957	MICALL1	protein_coding	22	1	37906297	37942822
ENSG00000100167	ENST00000644076	SEPTIN3	protein_coding	22	1	41969443	41998221
ENSG00000100170	ENST00000266088	SLC5A1	protein_coding	22	1	32043261	32113029
ENSG00000100241	ENST00000380817	SBF1	protein_coding	22	-1	50445000	50475035
ENSG00000100284	ENST00000449058	TOM1	protein_coding	22	1	35299894	35347973
ENSG00000100290	ENST00000216115	BIK	protein_coding	22	1	43110750	43129712
ENSG00000100344	ENST00000216180	PNPLA3	protein_coding	22	1	43923805	43947582
ENSG00000100346	ENST00000402142	CACNA1I	protein_coding	22	1	39570753	39689735
ENSG00000100347	ENST00000350028	SAMM50	protein_coding	22	1	43955442	43996529
ENSG00000100350	ENST00000397224	FOXRED2	protein_coding	22	-1	36487190	36507040
ENSG00000100413	ENST00000355209	POLR3H	protein_coding	22	-1	41525799	41544470
ENSG00000100418	ENST00000263256	DESI1	protein_coding	22	-1	41598028	41621043
ENSG00000100426	ENST00000216268	ZBED4	protein_coding	22	1	49853844	49890080
ENSG00000100461	ENST00000359890	RBM23	protein_coding	14	-1	22893204	22919149
ENSG00000100485	ENST00000216373	SOS2	protein_coding	14	-1	50117130	50231578
ENSG00000100532	ENST00000216420	CGRRF1	protein_coding	14	1	54509906	54539292
ENSG00000100565	ENST00000689127	LRRC74A	protein_coding	14	1	76826408	76870304
ENSG00000100629	ENST00000555265	CEP128	protein_coding	14	-1	80496479	80941738
ENSG00000100711	ENST00000311141	ZFYVE21	protein_coding	14	1	103715810	103733664
ENSG00000100731	ENST00000304743	PCNX1	protein_coding	14	1	70907459	71115382
ENSG00000100796	ENST00000554943	PPP4R3A	protein_coding	14	-1	91457508	91510310
ENSG00000100852	ENST00000345122	ARHGAP5	protein_coding	14	1	32077304	32159728
ENSG00000100883	ENST00000216774	SRP54	protein_coding	14	1	34982992	35029567
ENSG00000101049	ENST00000373100	SGK2	protein_coding	20	1	43559027	43585627
ENSG00000101052	ENST00000373030	IFT52	protein_coding	20	1	43590937	43647299
ENSG00000101057	ENST00000217026	MYBL2	protein_coding	20	1	43667114	43716482
ENSG00000101076	ENST00000316673	HNF4A	protein_coding	20	1	44355699	44432845
ENSG00000101084	ENST00000344795	RAB5IF	protein_coding	20	1	36605779	36612557
ENSG00000101096	ENST00000371564	NFATC2	protein_coding	20	-1	51386963	51542719
ENSG00000101104	ENST00000217073	PABPC1L	protein_coding	20	1	44910060	44939316
ENSG00000101187	ENST00000217159	SLCO4A1	protein_coding	20	1	62642503	62672293
ENSG00000101213	ENST00000542869	PTK6	protein_coding	20	-1	63528001	63537376
ENSG00000101247	ENST00000378106	NDUFAF5	protein_coding	20	1	13785028	13821580
ENSG00000101280	ENST00000381922	ANGPT4	protein_coding	20	-1	869900	916334
ENSG00000101290	ENST00000460006	CDS2	protein_coding	20	1	5127008	5197887
ENSG00000101333	ENST00000378473	PLCB4	protein_coding	20	1	9069087	9480808
ENSG00000101384	ENST00000254958	JAG1	protein_coding	20	-1	10637684	10673999
ENSG00000101391	ENST00000346416	CDK5RAP1	protein_coding	20	-1	33358839	33401519
ENSG00000101407	ENST00000373447	TTI1	protein_coding	20	-1	37983021	38033456
ENSG00000101417	ENST00000409299	PXMP4	protein_coding	20	-1	33702758	33720310
ENSG00000101421	ENST00000217402	CHMP4B	protein_coding	20	1	33811348	33854366
ENSG00000101435	ENST00000376979	CST9L	protein_coding	20	-1	23564732	23568484
ENSG00000101463	ENST00000376862	SYNDIG1	protein_coding	20	1	24469629	24666616
ENSG00000101493	ENST00000443185	ZNF516	protein_coding	18	-1	76357682	76495242
ENSG00000101639	ENST00000506447	CEP192	protein_coding	18	1	12991362	13125036
ENSG00000101680	ENST00000389658	LAMA1	protein_coding	18	-1	6941742	7117797
ENSG00000101746	ENST00000261592	NOL4	protein_coding	18	-1	33851100	34224913
ENSG00000101901	ENST00000394780	ALG13	protein_coding	X	1	111681170	111760649
ENSG00000101977	ENST00000519895	MCF2	protein_coding	X	-1	139581770	139708167
ENSG00000101997	ENST00000376227	CCDC22	protein_coding	X	1	49235470	49250520
ENSG00000102053	ENST00000338957	ZC3H12B	protein_coding	X	1	65034826	65507887
ENSG00000102081	ENST00000370475	FMR1	protein_coding	X	1	147911919	147951125
ENSG00000102218	ENST00000218340	RP2	protein_coding	X	1	46837043	46882358
ENSG00000102221	ENST00000614628	JADE3	protein_coding	X	1	46912421	47061242
ENSG00000102313	ENST00000218436	ITIH6	protein_coding	X	-1	54748918	54798255
ENSG00000102572	ENST00000539966	STK24	protein_coding	13	-1	98445185	98577107
ENSG00000102891	ENST00000219162	MT4	protein_coding	16	1	56565073	56568957
ENSG00000102893	ENST00000323584	PHKB	protein_coding	16	1	47461331	47701523
ENSG00000102908	ENST00000349945	NFAT5	protein_coding	16	1	69565966	69704654
ENSG00000102984	ENST00000425432	ZNF821	protein_coding	16	-1	71859685	71884182
ENSG00000103111	ENST00000248248	MON1B	protein_coding	16	1	77191190	77202398
ENSG00000103253	ENST00000389703	HAGHL	protein_coding	16	1	727106	729715
ENSG00000103257	ENST00000261622	SLC7A5	protein_coding	16	-1	87830023	87869507
ENSG00000103351	ENST00000576634	CLUAP1	protein_coding	16	1	3501004	3539048
ENSG00000103460	ENST00000219746	TOX3	protein_coding	16	-1	52436417	52547143
ENSG00000103540	ENST00000694978	CCP110	protein_coding	16	1	19523942	19553408
ENSG00000103544	ENST00000417362	VPS35L	protein_coding	16	1	19555703	19701163
